app,store,direction,category,item,purpose,optional
Yandex Maps,googleplay,collected,Audio,Other audio files,"App functionality, Analytics, Personalization",True
Yandex Maps,googleplay,collected,Device or other IDs,Device or other IDs,"Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management",False
Yandex Maps,googleplay,collected,Messages,Other in-app messages,App functionality,True
Yandex Maps,googleplay,collected,Location,Approximate location,"App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization",True
Yandex Maps,googleplay,collected,Location,Precise location,"App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization",True
Yandex Maps,googleplay,collected,Files and docs,Files and docs,App functionality,True
Yandex Maps,googleplay,collected,Photos and videos,Photos,App functionality,True
Yandex Maps,googleplay,collected,Photos and videos,Videos,App functionality,True
Yandex Maps,googleplay,collected,App activity,App interactions,"Analytics, Advertising or marketing, Personalization",True
Yandex Maps,googleplay,collected,App activity,In-app search history,"Analytics, Advertising or marketing, Personalization",True
Yandex Maps,googleplay,collected,App activity,Other user-generated content,Analytics,True
Yandex Maps,googleplay,collected,App activity,Other actions,Analytics,True
Yandex Maps,googleplay,collected,Calendar,Calendar events,App functionality,True
Yandex Maps,googleplay,collected,Web browsing,Web browsing history,"App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization",True
Yandex Maps,googleplay,collected,Health and fitness,Fitness info,"App functionality, Analytics",True
Yandex Maps,googleplay,collected,Personal info,Name,Account management,True
Yandex Maps,googleplay,collected,Personal info,Email address,Account management,True
Yandex Maps,googleplay,collected,Personal info,User IDs,"App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management",True
Yandex Maps,googleplay,collected,Personal info,Address,"App functionality, Account management",True
Yandex Maps,googleplay,collected,Personal info,Phone number,Account management,True
Yandex Maps,googleplay,collected,Personal info,Other info,Account management,True
Yandex Maps,googleplay,collected,Contacts,Contacts,App functionality,True
Yandex Maps,googleplay,collected,App info and performance,Crash logs,Analytics,False
Yandex Maps,googleplay,collected,App info and performance,Diagnostics,Analytics,True
Yandex Maps,googleplay,collected,App info and performance,Other app performance data,Analytics,True
Yandex Maps,googleplay,collected,Financial info,User payment info,App functionality,True
Yandex Maps,googleplay,collected,Financial info,Purchase history,"App functionality, Analytics",True
Yandex Maps,googleplay,shared,No data shared,,,False
Google Maps,googleplay,collected,Photos and videos,Photos and Videos,,False
Google Maps,googleplay,collected,Photos and videos,Photos,"App functionality, Analytics, Fraud prevention, security, and compliance, Account management",True
Google Maps,googleplay,collected,Photos and videos,Videos,"App functionality, Analytics, Fraud prevention, security, and compliance",True
Google Maps,googleplay,collected,Messages,Other in-app messages,,False
Google Maps,googleplay,collected,Messages,Other in-app messages,"App functionality, Analytics",True
Google Maps,googleplay,collected,Files and docs,Files and docs,,False
Google Maps,googleplay,collected,Files and docs,Files and docs,"Fraud prevention, security, and compliance",True
Google Maps,googleplay,collected,Personal info,Name,"App functionality, Account management",True
Google Maps,googleplay,collected,Personal info,Email address,"App functionality, Analytics, Developer communications, Fraud prevention, security, and compliance, Account management",True
Google Maps,googleplay,collected,Personal info,User IDs,"App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management",True
Google Maps,googleplay,collected,Personal info,Address,"App functionality, Advertising or marketing, Personalization, Account management",True
Google Maps,googleplay,collected,Personal info,Phone number,"App functionality, Fraud prevention, security, and compliance, Account management",True
Google Maps,googleplay,collected,Personal info,Other info,"App functionality, Analytics, Personalization, Account management",False
Google Maps,googleplay,collected,Device or other IDs,Device or other IDs,"App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management",False
Google Maps,googleplay,collected,Audio,Voice or sound recordings,,False
Google Maps,googleplay,collected,Audio,Voice or sound recordings,"App functionality, Analytics, Personalization",True
Google Maps,googleplay,collected,Contacts,Contacts,,False
Google Maps,googleplay,collected,Contacts,Contacts,"App functionality, Personalization, Account management",True
Google Maps,googleplay,collected,Web browsing,Web browsing history,,False
Google Maps,googleplay,collected,Web browsing,Web browsing history,Advertising or marketing,False
Google Maps,googleplay,collected,Location,Approximate location and Precise location,,False
Google Maps,googleplay,collected,Location,Approximate location,"App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Precise location, App functionality, Analytics, Personalization",False
Google Maps,googleplay,collected,App info and performance,Crash logs,"App functionality, Analytics, Fraud prevention, security, and compliance, Diagnostics, App functionality, Analytics, Fraud prevention, security, and compliance, Account management, Other app performance data, Analytics, Fraud prevention, security, and compliance",False
Google Maps,googleplay,collected,App activity,App interactions,"App functionality, Analytics, Advertising or marketing, Personalization, In-app search history, App functionality, Analytics, Advertising or marketing, Personalization, Installed apps, App functionality, Analytics, Fraud prevention, security, and compliance",False
Google Maps,googleplay,collected,App activity,Other user-generated content,"App functionality, Analytics, Personalization, Other actions, App functionality, Analytics",True
Google Maps,googleplay,shared,No data shared,,,False
Yandex Go Taxi,googleplay,collected,App activity,App interactions,"Analytics, Advertising or marketing, Personalization",False
Yandex Go Taxi,googleplay,collected,App activity,In-app search history,"Analytics, Advertising or marketing, Personalization",False
Yandex Go Taxi,googleplay,collected,App activity,Other user-generated content,Analytics,True
Yandex Go Taxi,googleplay,collected,App activity,Other actions,Analytics,True
Yandex Go Taxi,googleplay,collected,Messages,Other in-app messages,"App functionality, Fraud prevention, security, and compliance",True
Yandex Go Taxi,googleplay,collected,Files and docs,Files and docs,App functionality,True
Yandex Go Taxi,googleplay,collected,Contacts,Contacts,App functionality,True
Yandex Go Taxi,googleplay,collected,Device or other IDs,Device or other IDs,"Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management",False
Yandex Go Taxi,googleplay,collected,App info and performance,Crash logs,Analytics,False
Yandex Go Taxi,googleplay,collected,App info and performance,Diagnostics,Analytics,False
Yandex Go Taxi,googleplay,collected,App info and performance,Other app performance data,Analytics,False
Yandex Go Taxi,googleplay,collected,Audio,Voice or sound recordings,"App functionality, Analytics",True
Yandex Go Taxi,googleplay,collected,Financial info,User payment info and Purchase history,,False
Yandex Go Taxi,googleplay,collected,Financial info,User payment info,"App functionality, Fraud prevention, security, and compliance",True
Yandex Go Taxi,googleplay,collected,Financial info,Purchase history,"App functionality, Analytics, Fraud prevention, security, and compliance",False
Yandex Go Taxi,googleplay,collected,Personal info,Name,Account management,True
Yandex Go Taxi,googleplay,collected,Personal info,Email address,"Developer communications, Account management",True
Yandex Go Taxi,googleplay,collected,Personal info,User Ids,"App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management",False
Yandex Go Taxi,googleplay,collected,Personal info,Address,Account management,True
Yandex Go Taxi,googleplay,collected,Personal info,Phone number,"App functionality, Account management",False
Yandex Go Taxi,googleplay,collected,Personal info,Other info,Account management,True
Yandex Go Taxi,googleplay,collected,Photos and videos,Photos,App functionality,True
Yandex Go Taxi,googleplay,collected,Photos and videos,Videos,App functionality,True
Yandex Go Taxi,googleplay,collected,Location,Approximate location,"App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization",True
Yandex Go Taxi,googleplay,collected,Location,Precise location,"App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization",True
Yandex Go Taxi,googleplay,shared,Device or other IDs,Device or other IDs,"Analytics, Advertising or marketing",False
Bolt,googleplay,collected,Personal info,User IDs,"App functionality, Analytics, Fraud prevention, security, and compliance, Personalization, Account management",False
Bolt,googleplay,collected,Personal info,Address,App functionality,True
Bolt,googleplay,collected,Personal info,Other info,App functionality,True
Bolt,googleplay,collected,App info and performance,Other app performance data,Analytics,False
Bolt,googleplay,collected,Audio,Voice or sound recordings,"App functionality, Fraud prevention, security, and compliance",True
Bolt,googleplay,collected,App activity,App interactions,"Analytics, Fraud prevention, security, and compliance",False
Bolt,googleplay,collected,App activity,In-app search history,"App functionality, Analytics, Personalization",False
Bolt,googleplay,collected,App activity,Other user-generated content,App functionality,True
Bolt,googleplay,shared,No data shared,,,False
RZD,googleplay,collected,Financial info,User payment info and Purchase history,,False
RZD,googleplay,collected,Financial info,User payment info,"App functionality, Account management",False
RZD,googleplay,collected,Financial info,Purchase history,"App functionality, Account management",False
RZD,googleplay,collected,App activity,In-app search history and Installed apps,,False
RZD,googleplay,collected,App activity,In-app search history,"App functionality, Analytics",False
RZD,googleplay,collected,App activity,Installed apps,"App functionality, Fraud prevention, security, and compliance",False
RZD,googleplay,collected,Location,Approximate location and Precise location,,False
RZD,googleplay,collected,Location,Approximate location,App functionality,True
RZD,googleplay,collected,Location,Precise location,App functionality,True
RZD,googleplay,collected,Files and docs,Files and docs,App functionality,False
RZD,googleplay,collected,Personal info,Name,"App functionality, Account management",False
RZD,googleplay,collected,Personal info,Email address,"App functionality, Account management",False
RZD,googleplay,collected,Personal info,User Ids,"App functionality, Account management",False
RZD,googleplay,collected,Personal info,Phone number,"App functionality, Account management, Personal info:Other info-> App functionality, Account management",False
RZD,googleplay,collected,Photos and videos,Photos,App functionality,True
RZD,googleplay,collected,Messages,Emails and Other in-app messages,,False
RZD,googleplay,collected,Messages,Emails,"App functionality, Account management",False
RZD,googleplay,collected,Messages,Other in-app messages,App functionality,True
RZD,googleplay,collected,App info and performance,Crash logs,Analytics,False
RZD,googleplay,collected,Device or other IDs,Device or other Ids,App functionality,False
RZD,googleplay,shared,No data shared,,,False
DB Navigator,googleplay,collected,Personal info,Name,"App functionality, Fraud prevention, security, and compliance, Account management",True
DB Navigator,googleplay,collected,Personal info,Email address,"App functionality, Fraud prevention, security, and compliance, Account management",True
DB Navigator,googleplay,collected,Personal info,User IDs,"App functionality, Fraud prevention, security, and compliance, Account management",True
DB Navigator,googleplay,collected,Personal info,Address,"App functionality, Fraud prevention, security, and compliance, Account management",True
DB Navigator,googleplay,collected,Personal info,Phone number,"App functionality, Fraud prevention, security, and compliance, Account management",True
DB Navigator,googleplay,collected,Personal info,Other info,"App functionality, Fraud prevention, security, and compliance, Account management",True
DB Navigator,googleplay,collected,App info and performance,Crash logs and Diagnostics,,False
DB Navigator,googleplay,collected,App info and performance,Crash logs,Analytics,False
DB Navigator,googleplay,collected,App info and performance,Diagnostics,"App functionality, Analytics",False
DB Navigator,googleplay,collected,Financial info,User payment info and Purchase history,,False
DB Navigator,googleplay,collected,Financial info,User payment info,"App functionality, Fraud prevention, security, and compliance, Account management",True
DB Navigator,googleplay,collected,Financial info,Purchase history,App functionality,True
DB Navigator,googleplay,collected,Files and docs,Files and docs,App functionality,True
DB Navigator,googleplay,collected,App activity,App interactions and In-app search history,,False
DB Navigator,googleplay,collected,App activity,App interactions,"App functionality, Analytics",False
DB Navigator,googleplay,collected,App activity,In-app search history,App functionality,False
DB Navigator,googleplay,collected,Photos and videos,Photos,App functionality,True
DB Navigator,googleplay,collected,Device or other IDs,Device or other IDs,"App functionality, Analytics, Advertising or marketing, Account management",False
DB Navigator,googleplay,shared,App info and performance,Crash logs,Analytics,False
DB Navigator,googleplay,shared,App activity,App interactions,Analytics,False
DB Navigator,googleplay,shared,Device or other IDs,Device or other IDs,"Analytics, Advertising or marketing",False
Yandex Trains,googleplay,collected,Personal info,Name,"App functionality, Fraud prevention, security, and compliance, Personalization",True
Yandex Trains,googleplay,collected,Personal info,Email address,"App functionality, Fraud prevention, security, and compliance",True
Yandex Trains,googleplay,collected,Personal info,User IDs,"App functionality, Analytics",True
Yandex Trains,googleplay,collected,Personal info,Address,"App functionality, Analytics",True
Yandex Trains,googleplay,collected,Personal info,Phone number,App functionality,True
Yandex Trains,googleplay,collected,Personal info,Other info,"App functionality, Analytics, Fraud prevention, security, and compliance",True
Yandex Trains,googleplay,collected,Location,Approximate location and Precise location,,False
Yandex Trains,googleplay,collected,Location,Approximate location,"App functionality, Personalization",True
Yandex Trains,googleplay,collected,Location,Precise location,"App functionality, Personalization",True
Yandex Trains,googleplay,collected,Device or other IDs,Device or other IDs,Analytics,False
Yandex Trains,googleplay,collected,App info and performance,Crash logs and Diagnostics,,False
Yandex Trains,googleplay,collected,App info and performance,Crash logs,Analytics,False
Yandex Trains,googleplay,collected,App info and performance,Diagnostics,Analytics,False
Yandex Trains,googleplay,collected,Financial info,User payment info and Purchase history,,False
Yandex Trains,googleplay,collected,Financial info,User payment info,"App functionality, Fraud prevention, security, and compliance",True
Yandex Trains,googleplay,collected,Financial info,Purchase history,Analytics,True
Yandex Trains,googleplay,collected,App activity,App interactions and In-app search history,,False
Yandex Trains,googleplay,collected,App activity,App interactions,Analytics,False
Yandex Trains,googleplay,collected,App activity,In-app search history,"App functionality, Analytics, Personalization",False
Yandex Trains,googleplay,shared,No data shared,,,False
Mobiliteit.lu,googleplay,collected,Photos and videos,Photos,,False
Mobiliteit.lu,googleplay,collected,Photos and videos,Photos,Account management,True
Mobiliteit.lu,googleplay,collected,Personal info,Name,Account management,True
Mobiliteit.lu,googleplay,collected,Personal info,Email address,"App functionality, Fraud prevention, security, and compliance, Account management",True
Mobiliteit.lu,googleplay,collected,Personal info,User IDs,"App functionality, Personalization, Account management",True
Mobiliteit.lu,googleplay,collected,Personal info,Address,Account management,True
Mobiliteit.lu,googleplay,collected,Personal info,Phone number,Account management,True
Mobiliteit.lu,googleplay,collected,Personal info,Other info,Account management,True
Mobiliteit.lu,googleplay,shared,No data shared,,,False
Ozon,googleplay,collected,Device or other IDs,Device or other IDs,"Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization",True
Ozon,googleplay,collected,Photos and videos,Photos and Videos,,False
Ozon,googleplay,collected,Photos and videos,Photos,App functionality,True
Ozon,googleplay,collected,Photos and videos,Videos,App functionality,True
Ozon,googleplay,collected,Location,Approximate location,,False
Ozon,googleplay,collected,Location,Approximate location,"App functionality, Analytics",True
Ozon,googleplay,collected,Personal info,Name,App functionality,False
Ozon,googleplay,collected,Personal info,"Email address, App functionality",,False
Ozon,googleplay,collected,Personal info,User Ids,"App functionality, Analytics",False
Ozon,googleplay,collected,Personal info,Address,App functionality,False
Ozon,googleplay,collected,Personal info,Phone number,App functionality,False
Ozon,googleplay,collected,Personal info,Sexual orientation,Analytics,True
Ozon,googleplay,collected,Personal info,Other info,"App functionality, Analytics",False
Ozon,googleplay,collected,App info and performance,Crash logs,"App functionality, Analytics",False
Ozon,googleplay,collected,App info and performance,Diagnostics,"App functionality, Analytics",False
Ozon,googleplay,collected,App info and performance,Other app performance data,"App functionality, Analytics",False
Ozon,googleplay,collected,Financial info,User payment info,App functionality,True
Ozon,googleplay,collected,App activity,App interactions,Analytics,False
Ozon,googleplay,collected,App activity,In-app search history,Analytics,False
Ozon,googleplay,collected,App activity,Other user-generated content,"Analytics, App activity:Other actions-> Analytics",False
Ozon,googleplay,shared,Device or other IDs,Device or other IDs,"Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization",False
Ozon,googleplay,shared,Location,Approximate location,"App functionality, Analytics",False
Ozon,googleplay,shared,Location,Precise location,App functionality,False
Ozon,googleplay,shared,App info and performance,Crash logs,Analytics,False
Ozon,googleplay,shared,App info and performance,Diagnostics,Analytics,False
Ozon,googleplay,shared,App info and performance,Other app performance data,Analytics,False
Ozon,googleplay,shared,App activity,App interactions,,False
Ozon,googleplay,shared,App activity,App interactions,Analytics,False
Amazon Shopping,googleplay,collected,Health and fitness,Health info,"App functionality, Account management",True
Amazon Shopping,googleplay,collected,Personal info,Name,"App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Account management",True
Amazon Shopping,googleplay,collected,Personal info,Email address,"App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Account management",True
Amazon Shopping,googleplay,collected,Personal info,User IDs,"App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization",True
Amazon Shopping,googleplay,collected,Personal info,Address,"App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Account management",True
Amazon Shopping,googleplay,collected,Personal info,Phone number,"App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Account management",True
Amazon Shopping,googleplay,collected,Personal info,Other info,"App functionality, Fraud prevention, security, and compliance, Personalization, Account management",True
Amazon Shopping,googleplay,collected,Photos and videos,Photos and Videos,,False
Amazon Shopping,googleplay,collected,Photos and videos,Photos,"App functionality, Analytics, Fraud prevention, security, and compliance, Personalization",True
Amazon Shopping,googleplay,collected,Photos and videos,Videos,"App functionality, Analytics, Fraud prevention, security, and compliance, Personalization",True
Amazon Shopping,googleplay,collected,Audio,Voice or sound recordings,"App functionality, Analytics, Personalization",True
Amazon Shopping,googleplay,collected,App info and performance,Crash logs,"App functionality, Analytics",False
Amazon Shopping,googleplay,collected,App info and performance,Diagnostics,"App functionality, Analytics, Fraud prevention, security, and compliance",False
Amazon Shopping,googleplay,collected,App info and performance,Other app performance data,"App functionality, Analytics",False
Amazon Shopping,googleplay,collected,Location,Approximate location and Precise location,,False
Amazon Shopping,googleplay,collected,Location,Approximate location,"App functionality, Analytics, Advertising or marketing",True
Amazon Shopping,googleplay,collected,Location,Precise location,"App functionality, Analytics",True
Amazon Shopping,googleplay,collected,Messages,Other in-app messages,App functionality,True
Amazon Shopping,googleplay,collected,Device or other IDs,Device or other Ids,"App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention,->security, and compliance",False
Amazon Shopping,googleplay,collected,Financial info,User payment info,"App functionality, Fraud prevention, security, and compliance, Account management",True
Amazon Shopping,googleplay,collected,Financial info,Purchase history,"App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization",True
Amazon Shopping,googleplay,collected,Financial info,Other financial info,"App functionality, Analytics, Fraud prevention, security, and compliance",True
Amazon Shopping,googleplay,collected,Files and docs,Files and docs,"App functionality, Fraud prevention, security, and compliance",True
Amazon Shopping,googleplay,collected,App activity,App interactions,"App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization",False
Amazon Shopping,googleplay,collected,App activity,In-app search history,"App functionality, Analytics, Advertising or marketing, Personalization, Account management",True
Amazon Shopping,googleplay,collected,App activity,Other user-generated content,"App functionality, Analytics, Fraud prevention, security, and compliance, Personalization",True
Amazon Shopping,googleplay,collected,App activity,Other actions,"App functionality, Analytics, Personalization",True
Amazon Shopping,googleplay,shared,Health and fitness,Health info,App functionality,False
Amazon Shopping,googleplay,shared,Personal info,Name,"App functionality, Fraud prevention, security, and compliance, Account management",False
Amazon Shopping,googleplay,shared,Personal info,Email address,"App functionality, Fraud prevention, security, and compliance",False
Amazon Shopping,googleplay,shared,Personal info,Address,"App functionality, Fraud prevention, security, and compliance, Account management",False
Amazon Shopping,googleplay,shared,Personal info,Phone number,"App functionality, Fraud prevention, security, and compliance, Account management",False
Amazon Shopping,googleplay,shared,Personal info,Other info,"App functionality, Fraud prevention, security, and compliance, Account management",False
Amazon Shopping,googleplay,shared,Photos and videos,Photos and Videos,,False
Amazon Shopping,googleplay,shared,Photos and videos,Photos,"App functionality, Fraud prevention, security, and compliance, Photos and videos:Videos-> App functionality, Fraud prevention, security, and compliance",False
Amazon Shopping,googleplay,shared,Device or other IDs,Device or other Ids,"App functionality, Advertising or marketing, Fraud prevention, security, and compliance",False
Amazon Shopping,googleplay,shared,Financial info,User payment info and Other financial info,,False
Amazon Shopping,googleplay,shared,Financial info,User payment info,"App functionality, Fraud prevention, security, and compliance",False
Amazon Shopping,googleplay,shared,Financial info,Other financial info,App functionality,False
Amazon Shopping,googleplay,shared,App activity,App interactions and Other user-generated content,,False
Amazon Shopping,googleplay,shared,App activity,App interactions,"App functionality, Analytics, Fraud prevention, security, and compliance",False
Amazon Shopping,googleplay,shared,App activity,Other user-generated content,App functionality,False
Wildberries,googleplay,collected,Location,Precise location,"App functionality, Personalization",True
Wildberries,googleplay,collected,Personal info,Name,"Fraud prevention, security, and compliance",True
Wildberries,googleplay,collected,Personal info,Email address,"Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Account management",True
Wildberries,googleplay,collected,Personal info,User Ids,"App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management",False
Wildberries,googleplay,collected,Personal info,Address,App functionality,True
Wildberries,googleplay,collected,Personal info,Phone number,"App functionality, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Account management",True
